,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240715,7561.5322,7619.8398,7619.8398,7552.6069,317826.0,-12133.0,136325.0,1.0,0.0,2564.0,0.0,2.0,-3.0,0.0,-5360.0,7595.69364,7648.914049999999,7628.816714999999,-53.22040999999899,-33.12307499999861,7645.866623095239,7635.50007161111,198651.9,,0.897410766751937,0.9344437243622374,1.831854491114175,1.0,2564.0,-1.0,-5360.0,-0.03817497624486354,-0.0608541153424624,,,0.6849,0.44,0.5011
20240716,7539.8867,7560.9849,7578.1875,7530.7993,303101.0,-14725.0,112020.0,1.0,0.0,2524.0,0.0,1.0,-3.0,0.0,-6891.0,7582.532219999999,7633.049550000001,7633.74562,-50.51733000000149,-51.21340000000055,7638.242285317461,7640.685483357143,189522.1,,0.8630852901053748,0.9344437243622374,1.797529014467612,1.0,2524.0,-2.0,-6891.0,-0.04858116601396894,-0.0681524456352635,,,0.7123,0.4787,0.4951
20240717,7534.7568,7525.4355,7560.2881,7513.5405,294406.0,-8695.0,157176.0,1.0,0.0,2585.0,0.0,2.0,-3.0,41.0,-5539.0,7574.03484,7608.90843,7636.567715,-34.87359000000015,-62.53287499999988,7628.774016190476,7642.693289309525,180230.4,,0.8280750317916388,0.9269980688795729,1.755073100671212,1.0,2585.0,-1.0,-5498.0,-0.029534044822456064,-0.0685461935600472,,,0.9452,0.672,0.4934
20240718,7549.228,7546.8491,7556.7832,7526.873,287069.0,-7337.0,199813.0,1.0,0.0,2693.0,0.0,1.0,-2.0,668.0,-4497.0,7560.1654,7592.1595,7639.166735000001,-31.99409999999989,-79.00133500000084,7620.260844682542,7641.966443246031,170643.6,,0.798407115604443,0.9164743518832921,1.714881467487735,1.0,2693.0,-1.0,-3829.0,-0.025558315248250422,-0.0731103899131491,,,0.9452,0.6893,0.4875
20240719,7516.8613,7536.0923,7541.8179,7503.1396,286569.0,-500.0,152517.0,1.0,0.0,2854.0,0.0,1.0,-3.0,0.0,-5613.0,7540.453,7576.60325,7638.995714999999,-36.1502500000006,-98.54271499999959,7608.777203650792,7638.862661515874,162777.4,,0.7652630306557838,0.9164743518832921,1.681737382539076,1.0,2854.0,-2.0,-5613.0,-0.001744780489166658,-0.0927309867230991,,,0.9452,0.7013,0.4695
20240722,7491.835,7523.1353,7541.1064,7479.4634,280239.0,-6330.0,162667.0,1.0,0.0,2978.0,0.0,2.0,-3.0,0.0,-5145.0,7526.513559999999,7561.1036,7630.608095000001,-34.59004000000095,-104.0945350000011,7595.862706746031,7633.708538563493,150819.0,,0.7871182074826375,0.9164743518832921,1.70359255936593,1.0,2978.0,-1.0,-5145.0,-0.02258786250307773,-0.1268596545244863,,,0.9452,0.7147,0.4331
20240723,7482.459,7476.4795,7492.0425,7470.2046,277224.0,-3015.0,124417.0,1.0,0.0,3092.0,0.0,1.0,-3.0,0.0,-5107.0,7515.028020000001,7548.78012,7618.43661,-33.7520999999997,-103.4085899999991,7581.865152619049,7626.84059573016,146395.7,,0.7189934306237883,0.9164743518832921,1.63546778250708,1.0,3092.0,-2.0,-5107.0,-0.010875681759155051,-0.1509600447680333,,,0.8356,0.46,0.4163
20240724,7447.2104,7470.207,7473.543,7419.4956,276109.0,-1115.0,159540.0,1.0,0.0,3577.0,0.0,2.0,-3.0,277.0,-5421.0,7497.51874,7535.776790000001,7606.575499999999,-38.25805000000128,-109.0567599999995,7565.543693015872,7618.465691412699,149924.0,,0.7058425065143643,0.9164743518832921,1.622316858397656,1.0,3577.0,-1.0,-5144.0,-0.004038260252291668,-0.0548343637559567,,,0.8219,0.428,0.5125
20240725,7410.1665,7453.4194,7466.707,7398.4883,273404.0,-2705.0,115023.0,1.0,0.0,3869.0,0.0,1.0,-2.0,1405.0,-2876.0,7469.70644,7514.935920000001,7593.33873,-45.22948000000088,-123.6322900000005,7547.749567301586,7608.288285619048,143442.0,,0.7020203812500726,0.9139742200648304,1.615994601314903,1.0,3869.0,-1.0,-1471.0,-0.009893783558397097,-0.040025876790295,,,0.8219,0.3973,0.5217
20240726,7435.2476,7397.5195,7451.2319,7378.5923,273495.0,91.0,122012.0,1.0,0.0,3880.0,0.0,1.0,-2.0,1342.0,-3153.0,7453.3837,7496.91835,7579.870349999999,-43.5346499999996,-126.4866499999989,7531.118301428571,7596.406039404761,144151.0,,0.695404009064021,0.9231096754771682,1.618513684541189,1.0,3880.0,-1.0,-1811.0,0.00033273003162763486,0.0214921819112756,,,0.7945,0.3813,0.5677
20240729,7443.2671,7422.0977,7460.1401,7419.3193,269938.0,-3557.0,135096.0,1.0,0.0,3763.0,0.0,2.0,-2.0,1620.0,-2565.0,7443.67012,7485.091840000001,7567.002945,-41.42172000000119,-123.3328250000004,7517.371193492061,7583.556496444444,144028.1,,0.6765784216993379,0.9017301391907111,1.578308560890049,1.0,3763.0,0.0,-945.0,-0.013177099926649824,0.006940695375346,,,0.8219,0.3627,0.5584
20240730,7393.666,7442.5728,7442.5728,7372.3677,276081.0,6143.0,137769.0,1.0,0.0,3832.0,0.0,2.0,-2.0,1673.0,-2226.0,7425.91152,7470.469770000001,7551.759660000001,-44.55825000000095,-125.848140000001,7501.43099611111,7569.875367523809,146603.0,,0.6981050994678507,0.9017301391907111,1.599835238658562,1.0,3832.0,0.0,-553.0,0.02225071627529602,-0.0897217861951611,,,0.7808,0.3493,0.4714
20240731,7471.2158,7381.959,7477.3091,7376.3657,277155.0,1074.0,152676.0,1.0,0.0,4156.0,0.0,1.0,-2.0,953.0,-6440.0,7430.712600000001,7464.115669999999,7536.512049999999,-33.40306999999848,-105.7994499999986,7490.901846031745,7556.088150507935,146153.0,,0.7369254385982345,0.9231096754771682,1.660035114075403,1.0,4156.0,-1.0,-5487.0,0.003875087947177572,-0.0227588515760473,,,0.7534,0.3387,0.5292
20240801,7502.2861,7483.6987,7518.1563,7457.4619,270987.0,-6168.0,144946.0,1.0,0.0,3963.0,0.0,2.0,-2.0,2023.0,-1224.0,7449.13652,7459.42148,7525.790490000001,-10.28495999999996,-76.65397000000121,7486.674659285713,7542.729531968254,140666.3,,0.761625124641963,0.9231096754771682,1.684734800119131,1.0,3963.0,0.0,799.0,-0.022761239469052022,0.0005108160691979,,,0.7397,0.328,0.5556
