,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20241211,9482.5308,9484.0965,9565.7895,9458.6568,156519.0,-2762.0,58025.0,4.0,0.0,8023.0,0.0,1.0,-2.0,198.0,-4332.0,9510.38882,9505.10256,9503.040965,5.286260000000766,7.347854999999981,9495.652801031745,9538.051640793652,83175.4,,,1.742723563799202,2.331715895918219,4.074439459717421,4.0,8023.0,-1.0,-4134.0,-0.01764641992345977,0.0093941532366676,,,0.5205,0.4013,0.924
20241212,9564.2908,9507.2964,9602.5382,9484.0552,150773.0,-5746.0,63022.0,3.0,0.0,8093.0,0.0,0.0,-3.0,0.0,-3732.0,9507.2307,9519.547559999999,9492.41533,-12.316859999999,14.81537000000026,9499.293290476193,9526.235866380954,84199.1,,,1.660374452960432,2.331715895918219,3.992090348878651,3.0,8093.0,-3.0,-3732.0,-0.03811027173300259,-0.1218701219337118,,,0.4932,0.42,0.901
20241213,9482.0109,9553.2043,9620.9415,9442.9334,147243.0,-3530.0,103768.0,3.0,0.0,8486.0,0.0,1.0,-2.0,0.0,-5129.0,9518.20054,9515.27035,9487.36887,2.930189999999129,30.83166999999958,9499.961183492062,9517.342704063492,82484.6,124521.6,,1.697436575344952,2.331715895918219,4.029152471263171,3.0,8486.0,-1.0,-5129.0,-0.023973974993717867,-0.0305973289437695,,,0.6027,0.5467,0.917
20241216,9543.9718,9456.6159,9572.111,9407.8527,145466.0,-1777.0,72350.0,4.0,0.0,7951.0,0.0,1.0,-2.0,0.0,-2307.0,9519.81756,9510.44424,9486.08211,9.373319999998785,33.73545000000013,9501.332443571428,9510.270792960318,79306.9,,,1.681389149222275,2.331715895918219,4.013105045140493,4.0,7951.0,-1.0,-2307.0,-0.012215912996851498,-2.071208585682296,,,0.6438,0.6133,0.44
20241217,9532.3672,9549.5541,9549.5541,9355.5358,141632.0,-3834.0,98998.0,3.0,0.0,8019.0,0.0,1.0,-2.0,0.0,-4035.0,9521.0343,9516.25504,9483.73189,4.77925999999934,37.30241000000024,9503.289617222223,9505.543914650794,80472.7,118797.6,,1.737730787396667,2.331715895918219,4.069446683314887,3.0,8019.0,-1.0,-4035.0,-0.027070153637596024,-1.8763740506663236,,,0.6164,0.636,0.479
20241218,9467.541,9523.7973,9527.7451,9413.7387,137349.0,-4283.0,65574.0,3.0,0.0,8263.0,0.0,1.0,-2.0,665.0,-5001.0,9518.03634,9514.21258,9479.54984,3.82376000000113,38.48650000000089,9502.773955,9502.849453126984,79093.1,,,1.771355798245772,2.235111634030921,4.006467432276693,3.0,8263.0,-1.0,-4336.0,-0.031183335881586324,-1.7571924807745265,,,0.6301,0.6973,0.495
20241219,9315.5087,9429.2968,9449.2619,9305.2389,137150.0,-199.0,74748.0,4.0,0.0,10211.0,0.0,1.0,-2.0,624.0,-6801.0,9468.279919999999,9487.75531,9470.60235,-19.47539000000143,-2.322430000000168,9490.81022436508,9499.867446285714,76996.5,,,1.760762770709956,2.20609999827203,3.966862768981986,4.0,10211.0,-1.0,-6177.0,-0.0014509660955158586,-1.83324131367598,,,0.6849,0.7133,0.487
20241220,9328.9656,9299.459,9352.2213,9178.4302,134797.0,-2353.0,99617.0,4.0,0.0,9584.0,0.0,1.0,-2.0,817.0,-6187.0,9437.67086,9477.935699999998,9470.569005000001,-40.264839999998,-32.89814500000102,9474.16944563492,9496.557761777778,79925.1,119540.4,,1.739124999214964,2.177849609536828,3.916974608751792,4.0,9584.0,-1.0,-5370.0,-0.01745587809817726,-1.9487578996235688,,,0.6849,0.7573,0.466
20241223,9449.9218,9326.5048,9501.4089,9309.2861,132197.0,-2600.0,99512.0,4.0,0.0,8261.0,0.0,1.0,-2.0,590.0,-2962.0,9418.86086,9469.33921,9477.158855,-50.47834999999941,-58.29799499999899,9468.19740230159,9493.481924166666,81769.0,119414.4,0.247135,1.721674080677842,2.159221331488332,3.880895412166173,4.0,8261.0,-1.0,-2372.0,-0.019667617268167962,-1.8970689168500383,,,0.7123,0.7667,0.48
20241224,9412.3453,9446.7566,9462.3271,9368.506,132480.0,283.0,44755.0,4.0,0.0,8539.0,0.0,1.0,-2.0,754.0,-3583.0,9394.85648,9457.945389999999,9479.209724999999,-63.08890999999858,-84.35324499999842,9462.870182698414,9489.835054579366,78036.9,,,1.679793613797255,2.156595919360664,3.836389533157918,4.0,8539.0,-1.0,-2829.0,0.002136171497584541,-2.0511097816732287,,,0.7397,0.8093,0.445
